genre,wiki_title,confidence,source
christmas instrumental,Hatenai Sora,medium,wikipedia_fallback
disney portugues brasil,KPop Demon Hunters (soundtrack),medium,wikipedia_fallback
avant-rock,Experimental rock,high,wikidata
bouncy house,UK hard house,medium,wikipedia_fallback
neurofunk,Neurofunk,high,wikidata
slovenian indie,Joker Out,medium,wikipedia_fallback
electro-pop francais,List of rock genres,medium,wikipedia_fallback
danish pop rock,Reddi (band),medium,wikipedia_fallback
classical oboe,Piston (music),medium,wikipedia_fallback
polish synthpop,Boogie (genre),medium,wikipedia_fallback
deep pop emo,Emo pop,medium,wikipedia_fallback
musica eletronica brasileira,Sect (band),medium,wikipedia_fallback
danish contemporary classical,Music genre,medium,wikipedia_fallback
hollywood,Hollywood Undead,medium,wikipedia_fallback
himene tarava,Himene tarava,high,wikidata
college marching band,Boston College Marching Band,medium,wikipedia_fallback
belgian modern jazz,Music genre,medium,wikipedia_fallback
musiikkia lapsille,,none,unmatched
japanese celtic,List of music genres and styles,medium,wikipedia_fallback
dc indie,Beauty Pill,medium,wikipedia_fallback
contemporary classical piano,Helen Jane Long,medium,wikipedia_fallback
russian punk rock,Sektor Gaza,medium,wikipedia_fallback
deep orgcore,,none,unmatched
mongolian folk,Music of Mongolia,medium,wikipedia_fallback
austrian hip hop,Austrian hip-hop,high,wikidata
slowed and reverb,Slowed and reverb,high,wikidata
indie viet,List of music genres and styles,medium,wikipedia_fallback
k-indie,Alternative dance,medium,wikipedia_fallback
musica para criancas,Children's music,high,wikidata
mexican electronic,Music of Mexico,medium,wikipedia_fallback
hardvapour,Hardvapour,high,wikidata
norwegian jazz,Music of Norway,medium,wikipedia_fallback
slam poetry,Spoken word,medium,wikipedia_fallback
jazz violin,Duke Ellington's Jazz Violin Session,medium,wikipedia_fallback
romanian indie,The Amsterdams,medium,wikipedia_fallback
canadian indigenous,Indigenous music of Canada,high,wikidata
nz dnb,Electronic Dance Music Awards,medium,wikipedia_fallback
kingston on indie,Electronic music,medium,wikipedia_fallback
belgian rock,Rock music in Belgium,high,wikidata
russian indie,Motorama (band),medium,wikipedia_fallback
indonesian hardcore,Funkot,high,wikidata
funeral doom,Funeral doom,high,wikidata
freestyle,Freestyle music,high,wikidata
native american contemporary,D.G. Smalling,medium,wikipedia_fallback
quiet storm,Quiet storm,high,wikidata
nz reggae,Tomorrow People (band),medium,wikipedia_fallback
swiss techno,Energy (event),medium,wikipedia_fallback
ukg revival,UK garage,medium,wikipedia_fallback
galician jazz,Alberto Conde,medium,wikipedia_fallback
blues rock,Blues rock,high,wikidata
big room,Big room house,high,wikidata
vintage finnish jazz,Phonk,medium,wikipedia_fallback
british brass band,British brass band,medium,wikipedia_fallback
early avant garde,Fingerprince,medium,wikipedia_fallback
chattanooga indie,Music of Tennessee,medium,wikipedia_fallback
danish folk,Danish traditional music,high,wikidata
electronica cristiana,Arabic music,medium,wikipedia_fallback
belgian dance,Lasgo,medium,wikipedia_fallback
punk euskera,Zarama (band),medium,wikipedia_fallback
bass trap,The Unforgettable Fire (song),medium,wikipedia_fallback
elephant 6,Elephant 6,medium,wikipedia_fallback
ska revival,Two-tone (music genre),high,wikidata
new jack swing,New jack swing,high,wikidata
svensk lovsang,,none,unmatched
musicas espiritas,Paula Fernandes,medium,wikipedia_fallback
american contemporary classical,Terry Riley,medium,wikipedia_fallback
japanese piano,Hayato Sumino,medium,wikipedia_fallback
pop edm,Bardcore,medium,wikipedia_fallback
minimalism,Minimal music,high,wikidata
free folk,Free folk,high,wikidata
turkish black metal,Moribund Oblivion,medium,wikipedia_fallback
native american,Indigenous music of North America,medium,wikipedia_fallback
portuguese folk,Portuguese folk music,high,wikidata
jazz accordion,Toshiko and Leon Sash at Newport,medium,wikipedia_fallback
rock progressif francais,,none,unmatched
reggae rock,Reggae rock,high,wikidata
danish indie pop,The Asteroids Galaxy Tour,medium,wikipedia_fallback
italian baroque,Baroque sculpture,medium,wikipedia_fallback
disco,Disco,high,wikidata
chinese manyao,Gufeng music,medium,wikipedia_fallback
musica andina colombiana,Efraín Orozco Morales,medium,wikipedia_fallback
jumptek,Boaz van de Beatz,medium,wikipedia_fallback
re:techno,Detroit techno,medium,wikipedia_fallback
deep house,Deep house,high,wikidata
minimal tech house,Dennis Cruz,medium,wikipedia_fallback
carnaval cadiz,Comparsa,medium,wikipedia_fallback
hard bop,Hard bop,high,wikidata
ars subtilior,Ars subtilior,high,wikidata
xinyao,Xinyao,high,wikidata
california hardcore,Moshing,medium,wikipedia_fallback
indonesian metal,Venomous (album),medium,wikipedia_fallback
north carolina metal,Flawed by Design,medium,wikipedia_fallback
kentucky roots,Dirk Powell,medium,wikipedia_fallback
mexican pop punk,Panda (band),medium,wikipedia_fallback
metal paranaense,Terra Celta,medium,wikipedia_fallback
pop rap brasileiro,Honorific nicknames in popular music,medium,wikipedia_fallback
gaian doom,,none,unmatched
czech metal,Malignant Tumour,medium,wikipedia_fallback
baglama,Baglamas,medium,wikipedia_fallback
uk post-hardcore,British rock music,medium,wikipedia_fallback
instrumental progressive metal,Planet X (band),medium,wikipedia_fallback
shojo,Shōjo manga,medium,wikipedia_fallback
modern country rock,Kid Rock,medium,wikipedia_fallback
enka,Enka,high,wikidata
new wave of speed metal,Speed metal,medium,wikipedia_fallback
cumbia santafesina,Cumbia santafesina,high,wikidata
gothenburg metal,Melodic death metal,medium,wikipedia_fallback
cyber metal,Cyber metal,high,wikidata
dark rock,Gothic rock,high,wikidata
croatian metal,Every You Every Me,medium,wikipedia_fallback
albanian iso polyphony,Albanian iso-polyphony,high,wikidata
maskandi,Maskandi,high,wikidata
funk consciente,Funk carioca,medium,wikipedia_fallback
cantonese traditional,Save the Best for Last,medium,wikipedia_fallback
samba paulista,Samba paulista,medium,wikipedia_fallback
wyoming roots,Texas country music,medium,wikipedia_fallback
deep power-pop punk,Music genre,medium,wikipedia_fallback
skate punk,Skate punk,high,wikidata
uk doom metal,Solstice (doom metal band),medium,wikipedia_fallback
australian metal,Australian heavy metal,medium,wikipedia_fallback
visual kei,Visual kei,high,wikidata
riddim,Riddim (genre),high,wikidata
rock nacional feminino,Rita Lee,medium,wikipedia_fallback
post-metal,Post-metal,high,wikidata
italian tenor,The Prayer (Celine Dion and Andrea Bocelli song),medium,wikipedia_fallback
contemporary post-bop,Gary Husband,medium,wikipedia_fallback
uk experimental electronic,List of electronic music genres,medium,wikipedia_fallback
british industrial,Anaal Nathrakh,medium,wikipedia_fallback
minimal synth,Minimal wave,medium,wikipedia_fallback
slam death metal,Brutal death metal,medium,wikipedia_fallback
new wave of thrash metal,Thrash metal,medium,wikipedia_fallback
deep active rock,List of music genres and styles,medium,wikipedia_fallback
austrian contemporary classical,Olga Neuwirth,medium,wikipedia_fallback
tabla,Tabla,medium,wikipedia_fallback
operetta,Operetta,high,wikidata
cantaditas,,none,unmatched
sky room,Strength in Numbers (24-7 Spyz album),medium,wikipedia_fallback
wind quintet,Musica ricercata,medium,wikipedia_fallback
uyghur folk,Turdi Akhun,medium,wikipedia_fallback
filthstep,Brostep,high,wikidata
fremantle indie,No Way to Treat an Animal,medium,wikipedia_fallback
funk das antigas,Bonde da Stronda,medium,wikipedia_fallback
bay area indie,Bay Area Indie Music Festival,medium,wikipedia_fallback
indonesian pop punk,Last Child (band),medium,wikipedia_fallback
skramz,Screamo,high,wikidata
graz indie,Crave You,medium,wikipedia_fallback
argentine rock,Argentine rock,high,wikidata
puerto rican pop,Rauw Alejandro,medium,wikipedia_fallback
disco polo,Disco polo,high,wikidata
italian occult psychedelia,Italian occult psychedelia,high,wikidata
tagalog rap,Andrew E.,medium,wikipedia_fallback
polynesian pop,Tiki culture,medium,wikipedia_fallback
swedish post-punk,Viagra Boys,medium,wikipedia_fallback
japanese garage rock,Thee Michelle Gun Elephant,medium,wikipedia_fallback
spanish post-punk,Golpes Bajos,medium,wikipedia_fallback
folclore portugues,Tonicha,medium,wikipedia_fallback
japanese boom bap,List of music genres and styles,medium,wikipedia_fallback
jazz house,Jazz house,high,wikidata
african-american classical,Anthony Braxton,medium,wikipedia_fallback
magyar alternative,Carson Coma,medium,wikipedia_fallback
japanese indie folk,List of music genres and styles,medium,wikipedia_fallback
wrock,Wizard rock,high,wikidata
irish banjo,Enda Scahill,medium,wikipedia_fallback
la pop,DJ Earworm,medium,wikipedia_fallback
musica maringaense,,none,unmatched
crack rock steady,Crack rock steady,high,wikidata
j-core,J-core,high,wikidata
indie rock,Indie rock,high,wikidata
deep new wave,Music genre,medium,wikipedia_fallback
brooklyn indie,Ratatat Remixes Vol. 1,medium,wikipedia_fallback
electro swing,Electro swing,high,wikidata
virginia hip hop,We Got It 4 Cheap,medium,wikipedia_fallback
bedroom soul,Sobhhï,medium,wikipedia_fallback
native american hip hop,Native American hip-hop,high,wikidata
lo-fi jazzhop,Øneheart,medium,wikipedia_fallback
mexican classical,Manuel de Sumaya,medium,wikipedia_fallback
dutch trance,Uplifting trance,high,wikidata
musica timor-leste,Music genre,medium,wikipedia_fallback
min'yo,Min'yō,high,wikidata
dutch pop,Nederpop,high,wikidata
doomcore,Hardcore (electronic dance music genre),medium,wikipedia_fallback
japanese soul,Magic 3,medium,wikipedia_fallback
portuguese rock,Rock music in Portugal,high,wikidata
classic opm,Salamat (The Dawn song),medium,wikipedia_fallback
classic j-rock,Music genre,medium,wikipedia_fallback
sinhala rap,Sri Lankan hip-hop,medium,wikipedia_fallback
yugoslav new wave,Yugoslav new wave,high,wikidata
gundam,Music of Mobile Suit Gundam Wing,medium,wikipedia_fallback
sevilla indie,Windmill scene,medium,wikipedia_fallback
garage psych,Acid rock,medium,wikipedia_fallback
lo-fi emo,Jesus Christ 2005 God Bless America,medium,wikipedia_fallback
lo-fi chill,Kind Words (video game),medium,wikipedia_fallback
gospel r&b,Christian R&B,high,wikidata
belgian dnb,Electronic dance music,medium,wikipedia_fallback
speedrun,Mos Speedrun,medium,wikipedia_fallback
czech electronic,Autopsia,medium,wikipedia_fallback
electronica chilena,Music of Mexico,medium,wikipedia_fallback
mandible,Donald Barthelme,medium,wikipedia_fallback
indonesian indigenous,Stop Murder Music,medium,wikipedia_fallback
ghoststep,,none,unmatched
acidcore,Free tekno,medium,wikipedia_fallback
trance,Trance music,high,wikidata
darkstep,Darkstep,high,wikidata
string folk,Bandura,medium,wikipedia_fallback
jazz harp,The Fantastic Jazz Harp of Dorothy Ashby,medium,wikipedia_fallback
milan indie,Electronic dance music,medium,wikipedia_fallback
medway sound,Dan Melchior,medium,wikipedia_fallback
new orleans indie,Sweet Crude (band),medium,wikipedia_fallback
rock tico,Tico Torres,medium,wikipedia_fallback
dance pop,Dance-pop,high,wikidata
traprun,,none,unmatched
cornwall indie,Music of Cornwall,medium,wikipedia_fallback
london on indie,Independent music,medium,wikipedia_fallback
portland punk,Greg Sage,medium,wikipedia_fallback
canadian psychedelic,Mahogany Rush,medium,wikipedia_fallback
western mass indie,Pop music,medium,wikipedia_fallback
sufi chant,Islamic music,medium,wikipedia_fallback
thai indie rock,Apartment Khunpa,medium,wikipedia_fallback
turkish edm,Low Rider,medium,wikipedia_fallback
spanish noise pop,Music genre,medium,wikipedia_fallback
plugg,Plugg,high,wikidata
bboy,Time Travelling Toaster,medium,wikipedia_fallback
lldm,,none,unmatched
healing,New-age music,medium,wikipedia_fallback
tatar pop,Music in Tatarstan,medium,wikipedia_fallback
musica indigena mexicana,Music of Chile,medium,wikipedia_fallback
philly soul,Philadelphia soul,high,wikidata
rap regio,Music of Cuba,medium,wikipedia_fallback
focus trance,Trance music,medium,wikipedia_fallback
irish contemporary classical,Music genre,medium,wikipedia_fallback
vintage schlager,British pop music,medium,wikipedia_fallback
musica campista,Donga (musician),medium,wikipedia_fallback
australian classical,Australian classical music,medium,wikipedia_fallback
svensk progg,Progg,high,wikidata
harp,Sacred Harp,medium,wikipedia_fallback
classical countertenor,Barbershop music,medium,wikipedia_fallback
danish pop,Lukas Graham,medium,wikipedia_fallback
ann arbor indie,Disco D,medium,wikipedia_fallback
deep german punk,Music genre,medium,wikipedia_fallback
bolivian rock,Octavia (band),medium,wikipedia_fallback
deep tropical house,Girls Girls (song),medium,wikipedia_fallback
indonesian indie pop,White Shoes & the Couples Company,medium,wikipedia_fallback
latin,Latin music,high,wikidata
classic danish pop,Music genre,medium,wikipedia_fallback
k-rock,Korean rock,high,wikidata
instrumental soul,Quickness,medium,wikipedia_fallback
uk drill,UK drill,high,wikidata
brazilian post-rock,E A Terra Nunca Me Pareceu Tão Distante,medium,wikipedia_fallback
japanese alternative rock,Plastic Tree,medium,wikipedia_fallback
musica alagoana,Manu Bahtidão,medium,wikipedia_fallback
guam indie,Music of the Philippines,medium,wikipedia_fallback
rock chapin,Guatemalan rock,high,wikidata
danish punk,List of Danish punk bands,medium,wikipedia_fallback
souldies,Thee Sacred Souls,medium,wikipedia_fallback
noise pop,Noise pop,high,wikidata
german jazz rap,Nils Wogram,medium,wikipedia_fallback
tahitian,Music of Tahiti,medium,wikipedia_fallback
progressive jazz fusion,Just a Poke,medium,wikipedia_fallback
disney espanol,Radio Disney Music Awards,medium,wikipedia_fallback
indie cantabria,Music of Portugal,medium,wikipedia_fallback
baltimore indie,Escape from Evil,medium,wikipedia_fallback
dutch rock,Rock music in the Netherlands,high,wikidata
austrian pop,MonaLisa Twins,medium,wikipedia_fallback
italian folk,Italian folk music,high,wikidata
myanmar indie,List of music genres and styles,medium,wikipedia_fallback
musica mallorquina,Jansky (music band),medium,wikipedia_fallback
neo metal,Nu metal,high,wikidata
slovenian rock,Rock music in Slovenia,high,wikidata
egyptian alternative,Al Jeel,medium,wikipedia_fallback
psybreaks,Psychedelic breakbeat,high,wikidata
hard bass,Hardbass,high,wikidata
corrosion,Storm Corrosion,medium,wikipedia_fallback
japanese underground rap,List of music genres and styles,medium,wikipedia_fallback
irish underground rap,List of music genres and styles,medium,wikipedia_fallback
ilocano pop,Pinoy pop,medium,wikipedia_fallback
musica cristiana guatemalteca,,none,unmatched
psytech,,none,unmatched
khaliji,Khaliji (music),high,wikidata
tennessee metal,Scion Rock Fest,medium,wikipedia_fallback
swedish death metal,Swedish death metal,high,wikidata
austrian punk,Russkaja,medium,wikipedia_fallback
colombian black metal,Inquisition (metal band),medium,wikipedia_fallback
nuevo regional mexicano,Banda music,medium,wikipedia_fallback
copla,Copla (music),high,wikidata
sound,Dubstep,medium,wikipedia_fallback
santur,Trey Spruance,medium,wikipedia_fallback
odia pop,Reggaeton,medium,wikipedia_fallback
russian pop punk,Svyazi,medium,wikipedia_fallback
brazilian post-hardcore,Gloria (Brazilian band),medium,wikipedia_fallback
wassoulou,Wassoulou music,high,wikidata
rakugo,List of Descending Stories: Showa Genroku Rakugo Shinju episodes,medium,wikipedia_fallback
cubaton,Reggaeton,medium,wikipedia_fallback
folklore veracruzano,,none,unmatched
metal ecuatoriano,Ecuadorian rock,medium,wikipedia_fallback
atlanta metal,The Coathangers,medium,wikipedia_fallback
metal,Heavy metal music,medium,wikipedia_fallback
puerto rican metal,Ignacio Peña,medium,wikipedia_fallback
birmingham metal,Jeffery Farnol,medium,wikipedia_fallback
vintage radio show,List of genres,medium,wikipedia_fallback
nordnorsk ponk,,none,unmatched
kaseko,Kaseko,high,wikidata
metal uruguayo,Latin hip-hop,medium,wikipedia_fallback
qawwali,Qawwali,high,wikidata
neo-trad prog,List of music genres and styles,medium,wikipedia_fallback
zamba,Zamba (artform),high,wikidata
chicago pop punk,A Season in Hell (album),medium,wikipedia_fallback
latin american heavy psych,Psychedelic music,medium,wikipedia_fallback
musica potosina,Cueca,medium,wikipedia_fallback
opera chorus,Canadian Children's Opera Company,medium,wikipedia_fallback
deconstructed club,Deconstructed club,high,wikidata
bajki,Ficca,medium,wikipedia_fallback
slamming deathcore,Within Destruction,medium,wikipedia_fallback
contemporary classical,Contemporary classical music,high,wikidata
japanese classical performance,Music genre,medium,wikipedia_fallback
irish accordion,Irish accordion in the United States,medium,wikipedia_fallback
french pop,French pop music,high,wikidata
italian alternative,List of opera genres,medium,wikipedia_fallback
afro psych,The Avalanches,medium,wikipedia_fallback
isle of wight indie,Wet Leg,medium,wikipedia_fallback
uk alternative pop,Alternative pop,medium,wikipedia_fallback
swedish alternative rock,The Soundtrack of Our Lives,medium,wikipedia_fallback
san marcos tx indie,Music of Texas,medium,wikipedia_fallback
welsh indie,The Darling Buds,medium,wikipedia_fallback
deep freestyle,List of music genres and styles,medium,wikipedia_fallback
classic danish rock,Music genre,medium,wikipedia_fallback
spanish indie rock,Amaral (band),medium,wikipedia_fallback
historically informed performance,Historically informed performance,medium,wikipedia_fallback
okinawan folk,Okinawan music,medium,wikipedia_fallback
deep funk,Deep funk,high,wikidata
brazilian reggae,Cidade Negra,medium,wikipedia_fallback
korean mask singer,King of Mask Singer,medium,wikipedia_fallback
azeri pop,Azerbaijani pop music,high,wikidata
thrash core,Full Speed Ahead (D.R.I. album),medium,wikipedia_fallback
tuareg guitar,Desert blues,medium,wikipedia_fallback
deep hardtechno,Electronic dance music,medium,wikipedia_fallback
pinoy praise,Country music,medium,wikipedia_fallback
folclor colombiano,The Children of Vallenato,medium,wikipedia_fallback
chamber orchestra,Chamber music,medium,wikipedia_fallback
classic thai pop,Music genre,medium,wikipedia_fallback
yorkshire folk,English folk music,medium,wikipedia_fallback
west end,West End Girls,medium,wikipedia_fallback
visor,HMZ-T1,medium,wikipedia_fallback
french orchestra,Caravelli,medium,wikipedia_fallback
vintage spanish pop,Phonk,medium,wikipedia_fallback
celtic harp,Renaissance of the Celtic Harp,medium,wikipedia_fallback
shred,Neoclassical metal,medium,wikipedia_fallback
russian romance,Russian romance,high,wikidata
romanian pop,Muzică populară,high,wikidata
bolero,Bolero (Spanish dance),high,wikidata
sefardi,Sephardic music,high,wikidata
polyphony,Polyphony,high,wikidata
pop argentino,Music of Argentina,medium,wikipedia_fallback
gaming dubstep,Dubstep,medium,wikipedia_fallback
rock paraibano,Zé Ramalho Canta Bob Dylan – Tá Tudo Mudando,medium,wikipedia_fallback
idaho indie,Bigmouth Strikes Again,medium,wikipedia_fallback
victoria bc indie,The Racoons,medium,wikipedia_fallback
indie pop rock,Energy Rekords,medium,wikipedia_fallback
neoclassical darkwave,Neoclassical dark wave,high,wikidata
hi-nrg,Hi-NRG,high,wikidata
polish noise rock,List of rock genres,medium,wikipedia_fallback
portland indie,Sam Coomes,medium,wikipedia_fallback
charlotte nc indie,Rock music,medium,wikipedia_fallback
nz indie,Wellington International Ukulele Orchestra,medium,wikipedia_fallback
northeast indian hip hop,G'nie,medium,wikipedia_fallback
british post-rock,Ectogram,medium,wikipedia_fallback
touken ranbu,Katsugeki/Touken Ranbu,medium,wikipedia_fallback
taiwan idol pop,Pop music,medium,wikipedia_fallback
rap nacional antigo,Samba,medium,wikipedia_fallback
baroque singing,Melisma,medium,wikipedia_fallback
hungarian underground rap,List of music genres and styles,medium,wikipedia_fallback
trap queen,Trap Queen,medium,wikipedia_fallback
afro house,Afro house,high,wikidata
traditional irish singing,Traditional Irish singing,medium,wikipedia_fallback
afghan traditional,Beltoon,medium,wikipedia_fallback
chanson,Chanson,high,wikidata
musica aragonesa,Music of Aragon,high,wikidata
musica mapuche,History of folkloric music in Argentina,medium,wikipedia_fallback
polish folk,Music of Poland,medium,wikipedia_fallback
quartetto d'archi,String quartet,medium,wikipedia_fallback
medieval ensemble,Martin Best,medium,wikipedia_fallback
hungarian rock,Rock music in Hungary,high,wikidata
bosnian indie,List of music genres and styles,medium,wikipedia_fallback
kansai indie,Harsh noise,medium,wikipedia_fallback
funk carioca,Funk carioca,high,wikidata
melbourne indie,Gotye,medium,wikipedia_fallback
ambient worship,List of music genres and styles,medium,wikipedia_fallback
modern blues,Blues,medium,wikipedia_fallback
dutch blues,Hans Theessink,medium,wikipedia_fallback
western swing,Western swing,high,wikidata
t-pop girl group,Warinrat Yolprasong,medium,wikipedia_fallback
beatlesque,Beatlesque,medium,wikipedia_fallback
glam rock,Glam rock,high,wikidata
instrumental stoner rock,Mountain Czar,medium,wikipedia_fallback
go-go,Go-go,high,wikidata
indie emo rock,Midwest emo,medium,wikipedia_fallback
via,Via Vallen,medium,wikipedia_fallback
jewish hip hop,Jewish hip-hop,high,wikidata
conscious hip hop,Conscious hip hop,high,wikidata
garage house,Garage house,high,wikidata
bay area hip hop,We Were Hyphy,medium,wikipedia_fallback
nz electronic,Music for the Jilted Generation,medium,wikipedia_fallback
proto-techno,Techno,medium,wikipedia_fallback
ballet class,Shall We Dance (1937 film),medium,wikipedia_fallback
icelandic electronic,Trabant (Icelandic band),medium,wikipedia_fallback
italian contemporary classical,Stanze (album),medium,wikipedia_fallback
rap euskera,Negu Gorriak,medium,wikipedia_fallback
progressive trance,Progressive trance,high,wikidata
veracruz indie,List of best-selling Latin music artists,medium,wikipedia_fallback
arab folk,Arab folk dances,medium,wikipedia_fallback
nasheed,Nasheed,high,wikidata
musica catalana,Music of Catalonia,high,wikidata
lds youth,Lindsey Stirling,medium,wikipedia_fallback
classify,New wave of American heavy metal,medium,wikipedia_fallback
electric blues,Electric blues,high,wikidata
deathgrass,,none,unmatched
dutch prog,Downhearted,medium,wikipedia_fallback
chamber ensemble,Chamber music,medium,wikipedia_fallback
funk metal,Funk metal,high,wikidata
spanish indie pop,Rigoberta Bandini,medium,wikipedia_fallback
jazz guitar,Jazz guitar,high,wikidata
indie siciliano,!K7 Music,medium,wikipedia_fallback
brazilian indie rock,Os Mulheres Negras,medium,wikipedia_fallback
pop,Pop music,high,wikidata
aggrotech,Aggrotech,high,wikidata
pop violin,List of songs recorded by Jay Chou,medium,wikipedia_fallback
post-rock latinoamericano,Music of Mexico,medium,wikipedia_fallback
album rock,Album-oriented rock,high,wikidata
rap catarinense,Music of Brazil,medium,wikipedia_fallback
rap metal,Rap metal,high,wikidata
soft rock,Soft rock,high,wikidata
south dakota indie,Kid Dakota,medium,wikipedia_fallback
concepcion indie,Music of Venezuela,medium,wikipedia_fallback
sad rap,Emo rap,high,wikidata
portland hip hop,Mac Smiff,medium,wikipedia_fallback
israeli hip hop,Israeli hip-hop,high,wikidata
nz hip hop,The Crusader (album),medium,wikipedia_fallback
chinese folk,Chinese traditional music,high,wikidata
dungeon synth,Dungeon synth,high,wikidata
british contemporary classical,Afrodeutsche,medium,wikipedia_fallback
mazandarani folk,Sedato season 3,medium,wikipedia_fallback
bansuri,Bansuri,medium,wikipedia_fallback
deathstep,Code: Pandorum,medium,wikipedia_fallback
estonian jazz,Silvi Vrait,medium,wikipedia_fallback
folk punk,Folk punk,high,wikidata
classic swedish pop,Music genre,medium,wikipedia_fallback
musica juiz-forana,,none,unmatched
rap metal espanol,List of music genres and styles,medium,wikipedia_fallback
naat,Kočani Orkestar,medium,wikipedia_fallback
rhythm game,Rhythm game,medium,wikipedia_fallback
diva house,Diva house,high,wikidata
indie extremena,,none,unmatched
louisville indie,Rodan (band),medium,wikipedia_fallback
rebetiko,Rebetiko,high,wikidata
classic persian pop,Music genre,medium,wikipedia_fallback
gospel,Gospel music,high,wikidata
modern rock,Modern rock,high,wikidata
afrobeat brasileiro,Honorific nicknames in popular music,medium,wikipedia_fallback
sinhala indie,Folk music,medium,wikipedia_fallback
thai indie pop,Safeplanet,medium,wikipedia_fallback
gbvfi,,none,unmatched
pop rock,Pop rock,high,wikidata
faroese pop,The Dreams,medium,wikipedia_fallback
classic garage rock,(Turn On) The Music Machine,medium,wikipedia_fallback
toronto indie,Vazhiye,medium,wikipedia_fallback
brazilian dnb,Drum and bass,medium,wikipedia_fallback
afrobeat,Afrobeat,high,wikidata
lagu aceh,Album Aceh: Nyawöung,medium,wikipedia_fallback
scottish new wave,Josef K (band),medium,wikipedia_fallback
turkish pop,Turkish pop music,high,wikidata
st louis rap,Story of the Year,medium,wikipedia_fallback
lagu sunda,Yura Yunita,medium,wikipedia_fallback
iowa hip hop,Political hip-hop,medium,wikipedia_fallback
metal catarinense,Music of Brazil,medium,wikipedia_fallback
brit funk,Brit funk,high,wikidata
canadian old school hip hop,List of hip-hop genres,medium,wikipedia_fallback
underground rap,Underground hip-hop,high,wikidata
brazilian classical,Heitor Villa-Lobos,medium,wikipedia_fallback
nuevo tango,Nuevo tango,high,wikidata
asbury park indie,Dentist (band),medium,wikipedia_fallback
korean superband,Ha Hyun-sang,medium,wikipedia_fallback
japanese edm,J-core,medium,wikipedia_fallback
neo-classical,Neoclassical metal,high,wikidata
neo-psicodelia brasileira,,none,unmatched
ethiopian traditional,Music of Ethiopia,medium,wikipedia_fallback
italian rockabilly,Mario Monterosso,medium,wikipedia_fallback
pinoy indie,Pinoy rock,medium,wikipedia_fallback
scottish gaelic folk,Rachel Walker (singer),medium,wikipedia_fallback
nouvelle chanson francaise,Nouvelle Chanson,high,wikidata
irish pop,The Corrs,medium,wikipedia_fallback
musica catarinense,Music of Brazil,medium,wikipedia_fallback
sega mauricien,Flash (Stéphanie song),medium,wikipedia_fallback
speed garage,Speed garage,high,wikidata
calgary indie,Raphaelle Standell-Preston,medium,wikipedia_fallback
deep disco,Luxxury,medium,wikipedia_fallback
german post-punk,Die Haut,medium,wikipedia_fallback
kelowna bc indie,Western Canadian Music Awards,medium,wikipedia_fallback
singaporean pop,Sandra Riley Tang,medium,wikipedia_fallback
brazilian blues,Los Super Seven,medium,wikipedia_fallback
country rap,Country rap,high,wikidata
louvor icm,,none,unmatched
taiwan pop,MAMA Award for Best Asian Artist,medium,wikipedia_fallback
telugu hip hop,Indian hip-hop,medium,wikipedia_fallback
detroit hip hop,Music of Detroit,medium,wikipedia_fallback
punjabi hip hop,Music of Punjab,medium,wikipedia_fallback
rap portuense,,none,unmatched
pinoy alternative rap,List of music genres and styles,medium,wikipedia_fallback
tipico,Bachatón,medium,wikipedia_fallback
pennsylvania hardcore,Hot Cross,medium,wikipedia_fallback
swedish hard rock,Hällas,medium,wikipedia_fallback
lithuanian metal,Music of Lithuania,medium,wikipedia_fallback
czsk black metal,,none,unmatched
tar,Tar (band),medium,wikipedia_fallback
christian thrash metal,Christian metal,medium,wikipedia_fallback
epic doom,Epic doom metal,high,wikidata
brazilian groove metal,"Transnational Speedway League: Anthems, Anecdotes and Undeniable Truths",medium,wikipedia_fallback
honeyworks,HoneyWorks,medium,wikipedia_fallback
gymcore,,none,unmatched
grunge argentina,List of music genres and styles,medium,wikipedia_fallback
peruvian death metal,Mortem,medium,wikipedia_fallback
folk black metal,Black metal,medium,wikipedia_fallback
jewish cantorial,Leibele Waldman,medium,wikipedia_fallback
italian soprano,Renata Scotto,medium,wikipedia_fallback
partido alto,Partido alto,high,wikidata
rumba catalana,Catalan rumba,high,wikidata
swedish progressive metal,Means End,medium,wikipedia_fallback
malaysian punk,Malaysian rock,medium,wikipedia_fallback
italian progressive metal,Eldritch (band),medium,wikipedia_fallback
power thrash,Remnants of War,medium,wikipedia_fallback
progressive metal,Progressive metal,high,wikidata
melodic deathcore,Deathcore,medium,wikipedia_fallback
traditional bluegrass,Traditional bluegrass,high,wikidata
japanese death metal,Dir En Grey,medium,wikipedia_fallback
argentine ambient,List of music genres and styles,medium,wikipedia_fallback
ambient,Ambient music,high,wikidata
danish experimental,Puce Mary,medium,wikipedia_fallback
ambient idm,Lusine,medium,wikipedia_fallback
chinese experimental,Music of China,medium,wikipedia_fallback
electronica,Electronica,high,wikidata
illbient,Illbient,high,wikidata
danish techno,Mike Sheridan,medium,wikipedia_fallback
murcia indie,Music of Spain,medium,wikipedia_fallback
japanese worship,List of music genres and styles,medium,wikipedia_fallback
friese muziek,Joost Klein,medium,wikipedia_fallback
ska chileno,2024 in music,medium,wikipedia_fallback
french indie folk,Brigitte (duo),medium,wikipedia_fallback
kindie rock,Kindie rock,high,wikidata
kantele,My Kantele,medium,wikipedia_fallback
